"LOCATION"	"Country"	"VARIABLE"	"Variable"	"FREQUENCY"	"Frequency"	"TIME"	"Time"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2003"	"2003"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.733859730608453		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2004"	"2004"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.751045053413841		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2005"	"2005"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.771017185322805		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2006"	"2006"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.79842080817464		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2007"	"2007"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.817231769623781		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2008"	"2008"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.85276358569438		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2009"	"2009"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.867858801672086		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2010"	"2010"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.892707849512308		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2011"	"2011"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.92243381328379		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2012"	"2012"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.93822573153739		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2013"	"2013"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.961216906641895		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2014"	"2014"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	0.985369252206224		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2015"	"2015"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	1		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2016"	"2016"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	1.01277287505806		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2017"	"2017"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	1.03274500696702		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2018"	"2018"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	1.05303588664512		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2019"	"2019"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	1.07541227144904		
"AUS"	"Australia"	"CPI"	"Consumer price index"	"A"	"Annual"	"2020"	"2020"	"IDX"	"Index"	"0"	"Units"	"2014_15"	"2014-15"	1.10145963326865		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2003"	"2003"	"PC"	"Percentage"	"0"	"Units"			5.36677549766667		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2004"	"2004"	"PC"	"Percentage"	"0"	"Units"			5.5907745075		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2005"	"2005"	"PC"	"Percentage"	"0"	"Units"			5.33997311391667		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2006"	"2006"	"PC"	"Percentage"	"0"	"Units"			5.58787224425		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2007"	"2007"	"PC"	"Percentage"	"0"	"Units"			5.99452083733333		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2008"	"2008"	"PC"	"Percentage"	"0"	"Units"			5.81794393966667		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2009"	"2009"	"PC"	"Percentage"	"0"	"Units"			5.03951184208333		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2010"	"2010"	"PC"	"Percentage"	"0"	"Units"			5.36604166666667		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2011"	"2011"	"PC"	"Percentage"	"0"	"Units"			4.87958333333333		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2012"	"2012"	"PC"	"Percentage"	"0"	"Units"			3.37916666666667		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2013"	"2013"	"PC"	"Percentage"	"0"	"Units"			3.69729166666667		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2014"	"2014"	"PC"	"Percentage"	"0"	"Units"			3.65666666666667		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2015"	"2015"	"PC"	"Percentage"	"0"	"Units"			2.71083333333333		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2016"	"2016"	"PC"	"Percentage"	"0"	"Units"			2.33666666666667		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2017"	"2017"	"PC"	"Percentage"	"0"	"Units"			2.63916666666667		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2018"	"2018"	"PC"	"Percentage"	"0"	"Units"			2.72166666666667		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2019"	"2019"	"PC"	"Percentage"	"0"	"Units"			2.86333333333333		
"AUS"	"Australia"	"IRL"	"Long-term interest rate on government bonds"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"			3.08		
"AUS"	"Australia"	"PDTY"	"Labour productivity, total economy"	"A"	"Annual"	"2003"	"2003"	"IDX"	"Index"	"0"	"Units"	"2010"	"2010"	0.953143244820164		
"AUS"	"Australia"	"PDTY"	"Labour productivity, total economy"	"A"	"Annual"	"2004"	"2004"	"IDX"	"Index"	"0"	"Units"	"2010"	"2010"	0.975038291308276		
"AUS"	"Australia"	"PDTY"	"Labour productivity, total economy"	"A"	"Annual"	"2005"	"2005"	"IDX"	"Index"	"0"	"Units"	"2010"	"2010"	0.971453836848037		
"AUS"	"Australia"	"PDTY"	"Labour productivity, total economy"	"A"	"Annual"	"2006"	"2006"	"IDX"	"Index"	"0"	"Units"	"2010"	"2010"	0.974482833969719		
"AUS"	"Australia"	"PDTY"	"Labour productivity, total economy"	"A"	"Annual"	"2007"	"2007"	"IDX"	"Index"	"0"	"Units"	"2010"	"2010"	0.98697681611802		
"AUS"	"Australia"	"PDTY"	"Labour productivity, total economy"	"A"	"Annual"	"2008"	"2008"	"IDX"	"Index"	"0"	"Units"	"2010"	"2010"	0.983975274271682		
"AUS"	"Australia"	"PDTY"	"Labour productivity, total economy"	"A"	"Annual"	"2009"	"2009"	"IDX"	"Index"	"0"	"Units"	"2010"	"2010"	0.995498745563649		
